Time (s),Pressure (mmHg)
15.74,74.66
15.76,74.87
15.77,74.61
15.79,74.85
15.81,74.61
15.82,74.56
15.84,74.61
15.86,74.87
15.87,74.63
15.89,74.80
15.90,74.56
15.92,74.85
15.94,74.61
15.95,74.83
15.97,74.75
15.98,74.61
16.00,74.78
16.02,74.54
16.03,74.68
16.05,74.61
16.06,74.40
16.08,74.78
16.10,75.14
16.11,76.26
16.13,77.07
16.14,77.10
16.16,77.43
16.18,77.19
16.19,77.31
16.21,76.90
16.22,76.95
16.24,76.81
16.25,76.38
16.27,76.52
16.29,76.14
16.30,75.90
16.32,76.00
16.33,75.78
16.35,75.66
16.37,75.42
16.38,75.76
16.40,75.45
16.41,75.52
16.45,77.00
16.45,76.78
16.46,76.98
16.48,77.43
16.49,77.38
16.51,77.67
16.53,77.76
16.54,77.57
16.56,77.96
16.57,77.74
16.59,78.03
16.61,77.86
16.62,77.88
16.64,78.27
16.66,78.29
16.67,78.17
16.69,78.48
16.70,78.36
16.72,78.43
16.74,78.72
16.75,78.55
16.77,78.53
16.78,78.84
16.80,78.60
16.81,78.67
16.83,78.65
16.85,78.89
16.86,78.98
16.88,79.03
16.90,79.91
16.91,80.22
16.93,80.44
16.94,80.63
16.96,80.25
16.98,80.46
16.99,80.08
17.01,80.27
17.02,80.01
17.04,80.13
17.06,80.03
17.07,79.82
17.09,79.99
17.11,79.79
17.12,79.79
17.14,79.58
17.15,79.91
17.17,79.72
17.18,80.01
17.20,79.84
17.22,80.13
17.23,79.94
17.25,80.15
17.26,79.91
17.28,80.06
17.30,79.87
17.31,80.08
17.33,79.82
17.34,79.96
17.36,79.72
17.38,79.89
17.39,79.82
17.41,79.79
17.42,79.58
17.44,79.82
17.46,79.56
17.47,79.77
17.49,79.63
17.50,79.79
17.52,79.58
17.54,79.84
17.55,79.68
17.57,79.87
17.58,79.72
17.60,79.91
17.62,79.65
17.63,79.79
17.65,79.58
17.66,79.79
17.68,79.68
17.70,80.39
17.71,80.92
17.73,81.97
17.74,82.11
17.76,82.35
17.78,81.95
17.79,82.02
17.81,81.83
17.82,81.49
17.84,81.56
17.86,81.44
17.87,81.04
17.89,80.89
17.90,80.92
17.92,80.56
17.94,80.63
17.95,80.54
17.97,80.30
17.98,80.49
18.00,80.54
18.02,80.32
18.03,80.54
18.05,80.27
18.06,80.22
18.08,80.42
18.10,80.37
18.11,80.08
18.13,80.20
18.14,80.18
18.16,79.91
18.18,79.99
18.19,79.70
18.21,79.91
18.22,79.63
18.24,79.87
18.26,79.63
18.27,79.60
18.29,79.75
18.30,79.51
18.32,79.75
18.34,79.58
18.35,79.82
18.37,79.58
18.38,79.77
18.40,79.58
18.42,79.60
18.43,79.72
18.45,79.53
18.46,79.65
18.48,79.39
18.50,79.34
18.51,79.60
18.53,79.53
18.54,80.15
18.56,80.80
18.58,81.95
18.59,82.21
18.61,82.61
18.62,82.35
18.64,82.54
18.66,82.47
18.67,82.11
18.69,82.16
18.70,81.95
18.72,81.61
18.74,81.63
18.75,81.47
18.77,81.25
18.78,80.99
18.80,80.73
18.82,80.63
18.83,80.66
18.85,80.63
18.86,80.82
18.88,80.82
18.90,80.80
18.93,81.11
18.93,81.63
18.94,81.92
18.96,82.26
18.97,82.09
18.99,82.40
19.01,82.49
19.02,82.30
19.04,82.64
19.06,82.73
19.07,82.73
19.09,82.83
19.10,82.92
19.12,82.71
19.14,82.81
19.15,83.09
19.17,83.19
19.18,83.02
19.20,83.26
19.21,83.38
19.23,83.26
19.25,83.45
19.26,83.26
19.28,83.33
19.30,83.59
19.31,83.40
19.33,83.43
19.34,83.71
19.36,83.47
19.38,83.50
19.39,83.78
19.41,84.05
19.42,84.60
19.44,85.55
19.46,86.05
19.47,85.98
19.49,86.27
19.50,86.03
19.52,86.20
19.54,85.84
19.55,85.91
19.57,85.77
19.58,85.51
19.60,85.55
19.62,85.15
19.63,85.22
19.65,84.88
19.66,84.98
19.68,84.72
19.70,84.96
19.71,84.84
19.73,85.15
19.74,85.03
19.76,85.29
19.78,85.29
19.79,85.08
19.81,85.29
19.82,84.98
19.84,85.17
19.86,84.93
19.87,85.03
19.89,84.79
19.90,84.88
19.92,84.81
19.94,84.53
19.95,84.45
19.97,84.41
19.98,84.62
20.00,84.36
20.02,84.53
20.03,84.31
20.05,84.55
20.06,84.33
20.08,84.60
20.10,84.36
20.11,84.67
20.13,84.41
20.14,84.57
20.16,84.36
20.18,84.50
20.19,84.31
20.21,84.38
20.22,84.41
20.24,84.81
20.26,85.84
20.27,86.53
20.29,87.61
20.30,87.73
20.32,87.70
20.34,87.70
20.35,87.34
20.37,87.44
20.38,87.32
20.40,86.94
20.42,86.89
20.43,86.68
20.45,86.25
20.46,85.89
20.48,85.84
20.50,85.41
20.51,85.27
20.53,85.41
20.54,85.48
20.56,85.27
20.58,85.51
20.59,85.27
20.61,85.48
20.62,85.43
20.64,85.17
20.66,85.27
20.67,85.19
20.69,84.93
20.70,85.03
20.72,84.72
20.74,84.79
20.75,84.72
20.77,84.64
20.78,84.55
20.80,84.29
20.82,84.43
20.83,84.19
20.85,84.36
20.86,84.05
20.88,84.26
20.90,84.31
20.91,84.12
20.93,84.29
20.94,84.12
20.96,84.29
20.98,84.12
20.99,84.33
21.01,84.17
21.02,84.33
21.04,84.10
21.06,84.38
21.07,84.48
21.09,84.74
21.10,85.82
21.12,86.87
21.14,88.06
21.15,88.30
21.17,88.78
21.18,88.59
21.20,88.68
21.22,88.23
21.23,88.20
21.25,87.82
21.26,87.54
21.28,87.58
21.30,87.06
21.31,86.84
21.33,86.77
21.34,86.58
21.36,86.05
21.38,86.03
21.39,86.22
21.41,86.10
21.42,86.10
21.44,86.10
21.46,86.01
21.47,85.94
21.49,85.89
21.50,85.58
21.52,85.43
21.54,85.29
21.55,85.12
21.57,85.24
21.58,85.03
21.60,84.64
21.62,84.48
21.63,84.53
21.65,84.14
21.66,84.05
21.69,84.91
21.71,85.24
21.73,85.29
21.74,85.51
21.76,85.89
21.77,86.03
21.79,85.98
21.81,86.10
21.82,86.22
21.84,86.65
21.85,86.77
21.87,86.94
21.89,86.99
21.90,86.91
21.92,86.96
21.93,87.39
21.95,87.58
21.97,87.87
21.98,88.40
22.00,89.40
22.01,90.64
22.03,91.38
22.05,91.05
22.06,91.41
22.08,91.22
22.09,91.29
22.11,90.93
22.13,90.74
22.14,90.81
22.16,90.43
22.17,90.45
22.19,90.02
22.21,90.00
22.22,89.81
22.24,89.35
22.25,89.59
22.27,89.33
22.29,89.64
22.30,89.50
22.30,89.76
22.32,89.78
22.35,89.81
22.37,89.64
22.37,89.83
22.40,89.57
22.41,89.73
22.41,89.73
22.45,89.45
22.46,89.50
22.46,89.38
22.49,89.30
22.51,89.33
22.51,89.02
22.54,89.16
22.56,88.95
22.57,89.07
22.59,88.90
22.61,89.18
22.62,89.14
22.64,88.97
22.65,89.21
22.67,89.09
22.69,89.40
22.70,89.26
22.72,89.57
22.73,89.64
22.75,89.42
22.77,89.76
22.78,89.59
22.80,89.81
22.81,89.88
22.83,89.93
22.85,90.64
22.86,91.45
22.88,92.65
22.89,93.39
22.91,93.46
22.93,93.27
22.94,93.22
22.96,93.39
22.97,93.22
22.99,92.82
23.01,92.96
23.02,92.67
23.04,92.31
23.05,91.72
23.07,91.36
23.09,91.26
23.10,90.86
23.12,90.45
23.13,90.52
23.15,90.19
23.17,90.45
23.18,90.33
23.20,90.04
23.21,90.00
23.23,90.14
23.25,89.85
23.26,90.00
23.28,89.71
23.29,89.78
23.31,89.42
23.31,89.54
23.34,89.30
23.36,89.45
23.37,89.16
23.39,89.21
23.41,88.95
23.42,89.16
23.42,88.87
23.46,89.11
23.46,88.87
23.49,89.09
23.49,88.99
23.52,89.21
23.53,89.07
23.55,89.35
23.57,89.11
23.58,89.18
23.60,89.16
23.61,89.54
23.63,89.42
23.65,90.12
23.66,90.76
23.68,92.00
23.69,92.77
23.70,93.25
23.71,93.77
23.73,93.89
23.74,93.65
23.76,93.53
23.77,93.60
23.79,93.13
23.81,92.96
23.82,92.67
23.84,92.27
23.87,91.86
23.89,91.74
23.90,91.38
23.90,91.02
23.94,90.64
23.94,90.52
23.95,90.43
23.97,90.33
23.98,90.50
24.00,90.47
24.02,90.31
24.03,89.95
24.05,90.09
24.06,89.97
24.08,89.57
24.10,89.61
24.11,89.45
24.13,89.38
24.14,88.99
24.16,89.09
24.18,89.02
24.19,88.68
24.22,90.02
24.24,89.95
24.25,90.26
24.27,90.52
24.29,90.47
24.30,90.71
24.32,90.95
24.33,91.38
24.35,91.62
24.37,91.79
24.38,91.96
24.40,91.91
24.41,92.03
24.43,92.46
24.45,92.94
24.46,93.68
24.48,94.56
24.49,95.80
24.51,96.50
24.53,96.28
24.54,96.61
24.56,96.30
24.57,96.35
24.59,95.95
24.61,96.04
24.62,95.66
24.64,95.61
24.65,95.49
24.67,94.99
24.69,94.97
24.70,94.46
24.72,94.51
24.73,94.20
24.75,94.32
24.77,94.15
24.78,94.42
24.80,94.35
24.81,94.20
24.83,94.44
24.85,94.25
24.86,94.44
24.88,94.23
24.89,94.37
24.91,94.08
24.93,94.27
24.94,94.27
24.96,93.96
24.97,94.15
24.99,94.01
25.01,93.77
25.02,94.01
25.04,93.75
25.05,94.01
25.07,93.80
25.09,93.89
25.10,94.13
25.13,93.94
25.14,94.27
25.15,94.44
25.17,94.25
25.18,94.54
25.20,94.39
25.21,94.63
25.23,94.46
25.25,94.58
25.26,94.99
25.28,95.23
25.29,96.42
25.31,97.19
25.33,97.95
25.34,98.48
25.36,98.45
25.37,98.34
25.39,98.29
25.41,98.41
25.42,98.17
25.44,97.79
25.45,97.76
25.47,97.21
25.49,97.14
25.50,96.81
25.52,96.11
25.53,95.99
25.55,95.68
25.57,95.37
25.58,95.28
25.60,95.40
25.61,95.32
25.63,95.04
25.65,95.23
25.66,95.11
25.68,94.85
25.69,94.97
25.71,94.68
25.73,94.80
25.74,94.44
25.76,94.56
25.77,94.27
25.79,94.35
25.81,94.25
25.82,94.01
25.84,94.06
25.85,93.87
25.87,93.99
25.89,93.80
25.90,94.06
25.92,93.87
25.93,93.94
25.95,94.25
25.97,94.27
25.98,94.11
26.00,94.39
26.01,94.25
26.03,94.49
26.05,94.54
26.06,94.32
26.08,94.66
26.09,94.54
26.11,95.32
26.13,96.07
26.14,97.36
26.16,98.07
26.17,98.79
26.19,99.10
26.21,99.10
26.22,99.29
26.24,98.88
26.25,98.84
26.27,98.41
26.29,98.43
26.30,97.93
26.32,97.76
26.33,97.19
26.35,96.73
26.37,96.66
26.38,96.35
26.40,95.90
26.41,95.85
26.43,95.95
26.45,95.80
26.46,95.52
26.48,95.64
26.49,95.52
26.51,95.47
26.53,95.09
26.54,94.92
26.54,94.78
26.56,94.85
26.58,94.63
26.59,94.23
26.61,94.11
26.62,94.18
26.64,93.82
26.66,93.92
26.67,93.60
26.70,94.99
26.72,94.78
26.73,95.25
26.75,95.30
26.77,95.52
26.78,95.99
26.80,96.16
26.81,96.14
26.83,96.30
26.85,96.71
26.86,96.90
26.88,97.14
26.89,97.48
26.91,98.60
26.93,99.65
26.94,100.51
26.96,101.03
26.97,101.15
26.99,101.27
27.01,100.96
27.02,101.11
27.04,100.77
27.05,100.65
27.07,100.70
27.09,100.22
27.10,100.15
27.12,99.58
27.13,99.51
27.15,99.00
27.17,98.88
27.18,99.00
27.20,98.79
27.21,98.98
27.23,98.79
27.25,99.05
27.26,98.86
27.28,99.05
27.29,99.12
27.31,98.84
27.33,99.03
27.34,98.72
27.36,98.88
27.37,98.93
27.39,98.84
27.42,98.77
27.42,98.60
27.44,98.81
27.45,98.55
27.47,98.62
27.49,98.86
27.50,98.77
27.52,99.05
27.53,99.05
27.55,98.98
27.57,99.10
27.58,99.43
27.60,99.51
27.61,99.31
27.63,99.36
27.65,99.65
27.66,99.74
27.68,99.58
27.69,99.94
27.71,100.29
27.73,100.94
27.74,101.92
27.76,102.87
27.77,103.57
27.79,103.52
27.81,103.59
27.82,103.62
27.84,103.28
27.85,103.28
27.87,102.85
27.89,102.61
27.90,102.33
27.92,102.01
27.93,101.92
27.95,101.49
27.97,100.99
27.98,100.70
28.00,100.72
28.01,100.56
